2026-08-11T21:44:56-0400 | INFO    | price_guard.reporting | Wrote 1430 rows to /Users/cacoisaac/Documents/CACO/freelance/demos/azure-price-guard/reports/summary.csv
2026-08-11T21:44:56-0400 | INFO    | price_guard.reporting | Wrote 98 findings to /Users/cacoisaac/Documents/CACO/freelance/demos/azure-price-guard/reports/findings.csv
2026-08-11T21:44:56-0400 | INFO    | price_guard.reporting | Report written to /Users/cacoisaac/Documents/CACO/freelance/demos/azure-price-guard/reports/report.html
2026-08-11T21:44:56-0400 | INFO    | price_guard | Run 20260812T014446-b32e06 complete: 98 finding(s)
2026-08-11T21:44:56-0400 | INFO    | price_guard |   [HIGH] PRICE_GAP - Meter 'D2s v3' was priced at 0.096 in run 20260812T014442-bb179e and is absent from this run.
2026-08-11T21:44:56-0400 | INFO    | price_guard |   [HIGH] PRICE_DRIFT - D2s v3 (1 Hour) moved 0.212000 -> 0.250160 USD = +18.00%, above the 5.0% threshold. [SYNTHETIC - intentionally injected]
2026-08-11T21:44:56-0400 | INFO    | price_guard |   [LOW] NON_POSITIVE_PRICE - Consumption meter 'Account Encrypted Delete Operations' priced at 0.0 - zero price; confirm the operation is genuinely free.
2026-08-11T21:44:56-0400 | INFO    | price_guard |   [LOW] NON_POSITIVE_PRICE - Consumption meter 'Account Encrypted Delete Operations' priced at 0.0 - zero price; confirm the operation is genuinely free.
2026-08-11T21:44:56-0400 | INFO    | price_guard |   [LOW] NON_POSITIVE_PRICE - Consumption meter 'Account Encrypted Delete Operations' priced at 0.0 - zero price; confirm the operation is genuinely free.
2026-08-11T21:44:56-0400 | INFO    | price_guard |   [LOW] NON_POSITIVE_PRICE - Consumption meter 'Account Encrypted Delete Operations' priced at 0.0 - zero price; confirm the operation is genuinely free.
2026-08-11T21:44:56-0400 | INFO    | price_guard |   [LOW] NON_POSITIVE_PRICE - Consumption meter 'Account Encrypted Delete Operations' priced at 0.0 - zero price; confirm the operation is genuinely free.
2026-08-11T21:44:56-0400 | INFO    | price_guard |   [LOW] NON_POSITIVE_PRICE - Consumption meter 'Account Encrypted Delete Operations' priced at 0.0 - zero price; confirm the operation is genuinely free.
2026-08-11T21:44:56-0400 | INFO    | price_guard |   [LOW] NON_POSITIVE_PRICE - Consumption meter 'Archive Data Write' priced at 0.0 - zero price; confirm the operation is genuinely free.
2026-08-11T21:44:56-0400 | INFO    | price_guard |   [LOW] NON_POSITIVE_PRICE - Consumption meter 'Archive Data Write' priced at 0.0 - zero price; confirm the operation is genuinely free.
2026-08-11T21:44:56-0400 | INFO    | price_guard |   [LOW] NON_POSITIVE_PRICE - Consumption meter 'Archive Data Write' priced at 0.0 - zero price; confirm the operation is genuinely free.
2026-08-11T21:44:56-0400 | INFO    | price_guard |   [LOW] NON_POSITIVE_PRICE - Consumption meter 'Archive Data Write' priced at 0.0 - zero price; confirm the operation is genuinely free.
2026-08-11T21:44:56-0400 | INFO    | price_guard |   [LOW] NON_POSITIVE_PRICE - Consumption meter 'Archive Data Write' priced at 0.0 - zero price; confirm the operation is genuinely free.
2026-08-11T21:44:56-0400 | INFO    | price_guard |   [LOW] NON_POSITIVE_PRICE - Consumption meter 'Archive Data Write' priced at 0.0 - zero price; confirm the operation is genuinely free.
2026-08-11T21:44:56-0400 | INFO    | price_guard |   [LOW] NON_POSITIVE_PRICE - Consumption meter 'Archive Data Write' priced at 0.0 - zero price; confirm the operation is genuinely free.
2026-08-11T21:44:56-0400 | INFO    | price_guard |   [LOW] NON_POSITIVE_PRICE - Consumption meter 'Cold RA-GZRS Data Write' priced at 0.0 - zero price; confirm the operation is genuinely free.
2026-08-11T21:44:56-0400 | INFO    | price_guard |   [LOW] NON_POSITIVE_PRICE - Consumption meter 'Cold RA-GRS Data Write' priced at 0.0 - zero price; confirm the operation is genuinely free.
2026-08-11T21:44:56-0400 | INFO    | price_guard |   [LOW] NON_POSITIVE_PRICE - Consumption meter 'Cold GRS Data Write' priced at 0.0 - zero price; confirm the operation is genuinely free.
2026-08-11T21:44:56-0400 | INFO    | price_guard |   [LOW] NON_POSITIVE_PRICE - Consumption meter 'Cold GRS Data Write' priced at 0.0 - zero price; confirm the operation is genuinely free.
2026-08-11T21:44:56-0400 | INFO    | price_guard |   [LOW] NON_POSITIVE_PRICE - Consumption meter 'Cold RA-GRS Data Write' priced at 0.0 - zero price; confirm the operation is genuinely free.
2026-08-11T21:44:56-0400 | INFO    | price_guard |   [LOW] NON_POSITIVE_PRICE - Consumption meter 'Cold GZRS Data Write' priced at 0.0 - zero price; confirm the operation is genuinely free.
2026-08-11T21:44:56-0400 | INFO    | price_guard |   [LOW] NON_POSITIVE_PRICE - Consumption meter 'Cold GZRS Data Write' priced at 0.0 - zero price; confirm the operation is genuinely free.
2026-08-11T21:44:56-0400 | INFO    | price_guard |   [LOW] NON_POSITIVE_PRICE - Consumption meter 'Cold LRS Data Write' priced at 0.0 - zero price; confirm the operation is genuinely free.
2026-08-11T21:44:56-0400 | INFO    | price_guard |   [LOW] NON_POSITIVE_PRICE - Consumption meter 'Cold RA-GRS Data Write' priced at 0.0 - zero price; confirm the operation is genuinely free.
2026-08-11T21:44:56-0400 | INFO    | price_guard |   [LOW] NON_POSITIVE_PRICE - Consumption meter 'Cold ZRS Data Write' priced at 0.0 - zero price; confirm the operation is genuinely free.
2026-08-11T21:44:56-0400 | INFO    | price_guard |   [LOW] NON_POSITIVE_PRICE - Consumption meter 'Cold RA-GZRS Data Write' priced at 0.0 - zero price; confirm the operation is genuinely free.
2026-08-11T21:44:56-0400 | INFO    | price_guard |   [LOW] NON_POSITIVE_PRICE - Consumption meter 'Cold RA-GRS Data Write' priced at 0.0 - zero price; confirm the operation is genuinely free.
2026-08-11T21:44:56-0400 | INFO    | price_guard |   [LOW] NON_POSITIVE_PRICE - Consumption meter 'Cold GRS Data Write' priced at 0.0 - zero price; confirm the operation is genuinely free.
2026-08-11T21:44:56-0400 | INFO    | price_guard |   [LOW] NON_POSITIVE_PRICE - Consumption meter 'Cold ZRS Data Write' priced at 0.0 - zero price; confirm the operation is genuinely free.
2026-08-11T21:44:56-0400 | INFO    | price_guard |   [LOW] NON_POSITIVE_PRICE - Consumption meter 'Cold RA-GZRS Data Write' priced at 0.0 - zero price; confirm the operation is genuinely free.
2026-08-11T21:44:56-0400 | INFO    | price_guard |   [LOW] NON_POSITIVE_PRICE - Consumption meter 'Cold ZRS Data Write' priced at 0.0 - zero price; confirm the operation is genuinely free.
2026-08-11T21:44:56-0400 | INFO    | price_guard |   [LOW] NON_POSITIVE_PRICE - Consumption meter 'Cold GZRS Data Write' priced at 0.0 - zero price; confirm the operation is genuinely free.
2026-08-11T21:44:56-0400 | INFO    | price_guard |   [LOW] NON_POSITIVE_PRICE - Consumption meter 'Cold LRS Data Write' priced at 0.0 - zero price; confirm the operation is genuinely free.
2026-08-11T21:44:56-0400 | INFO    | price_guard |   [LOW] NON_POSITIVE_PRICE - Consumption meter 'Cold GRS Data Write' priced at 0.0 - zero price; confirm the operation is genuinely free.
2026-08-11T21:44:56-0400 | INFO    | price_guard |   [LOW] NON_POSITIVE_PRICE - Consumption meter 'Cold RA-GRS Data Write' priced at 0.0 - zero price; confirm the operation is genuinely free.
2026-08-11T21:44:56-0400 | INFO    | price_guard |   [LOW] NON_POSITIVE_PRICE - Consumption meter 'Cold GRS Data Write' priced at 0.0 - zero price; confirm the operation is genuinely free.
2026-08-11T21:44:56-0400 | INFO    | price_guard |   [LOW] NON_POSITIVE_PRICE - Consumption meter 'Cold GZRS Data Write' priced at 0.0 - zero price; confirm the operation is genuinely free.
2026-08-11T21:44:56-0400 | INFO    | price_guard |   [LOW] NON_POSITIVE_PRICE - Consumption meter 'Cold ZRS Data Write' priced at 0.0 - zero price; confirm the operation is genuinely free.
2026-08-11T21:44:56-0400 | INFO    | price_guard |   [LOW] NON_POSITIVE_PRICE - Consumption meter 'Cold RA-GZRS Data Write' priced at 0.0 - zero price; confirm the operation is genuinely free.
2026-08-11T21:44:56-0400 | INFO    | price_guard |   [LOW] NON_POSITIVE_PRICE - Consumption meter 'Cold LRS Data Write' priced at 0.0 - zero price; confirm the operation is genuinely free.
